   60.2664   -69.7499    59.9907
   58.6660   -69.5282    57.8900
   52.7274   -63.1383    56.0396
   51.8010   -60.0477    51.4652
   49.5049   -58.9871    48.3290
   49.0245   -57.4923    46.5884
   45.0806   -53.9011    45.4492
   42.0590   -49.7246    43.0618
   38.5442   -49.7910    38.9034
   35.9732   -45.8068    37.3792
   34.1053   -41.9776    33.9519
   32.4727   -41.0281    32.7036
   26.1409   -35.3754    30.5025
   26.9206   -37.1857    26.3457
   24.5176   -32.0453    23.4357
   21.3322   -32.3614    19.8244
   16.8622   -28.2198    18.0458
   16.3357   -22.7470    13.6178
   10.6507   -21.5386    12.0535
    9.9712   -20.9357    11.5170
    7.9765   -18.7183     6.9178
    3.1699   -17.5011     5.3890
    1.8066   -12.5391     4.0246
   -1.1906    -9.6721    -0.0382
   -3.6725    -7.7223    -4.9038
   -6.8055    -5.0418    -8.2370
   -8.9395    -2.9324    -5.5429
  -11.6914     2.8138   -11.5404
  -15.1946     4.2227   -14.6180
  -17.7600     7.8784   -19.5208
  -21.1401    11.8184   -19.6977
  -23.1342    14.4238   -21.8095
  -26.1855    15.1227   -25.6022
  -26.2417    16.8175   -27.4017
  -30.5626    20.9639   -32.8441
  -32.5698    23.6452   -33.4218
  -36.5651    26.6199   -36.9744
  -41.2970    28.4600   -38.2327
  -41.6124    32.6449   -42.1195
  -41.8150    33.3180   -42.9372
  -46.6791    35.6182   -44.0043
  -47.1317    37.7931   -50.0162
  -49.1651    40.0819   -51.7238
  -52.6219    46.3048   -53.0297
  -58.0892    46.6643   -57.7128
  -59.1010    51.3034   -62.6622
  -63.6287    49.6946   -62.6127
  -64.4333    53.8770   -61.7204
  -68.2222    58.3968   -65.7755
  -69.8562    60.4020   -70.0403
   60.0971   -70.3430    60.8237
   55.9973   -64.6669    57.9516
   52.4699   -64.5169    55.3773
   53.2012   -60.5821    51.4607
   49.9499   -56.0649    49.4356
   46.9500   -54.5795    46.2275
   43.6050   -48.8964    42.1195
   39.4759   -49.7033    40.7611
   38.5931   -46.2920    38.8287
   34.5634   -42.4708    36.9486
   32.2266   -41.5783    36.2662
   30.2035   -39.3092    30.2855
   25.9753   -38.9823    27.5447
   24.8966   -32.0740    25.2150
   21.9315   -30.5051    20.6448
   19.9741   -29.7761    20.1931
   16.8609   -23.0767    15.1481
   14.9908   -23.5022    13.0572
   10.7857   -22.4554     9.6390
    5.1468   -20.8958     8.3972
    1.5164   -18.4879     4.3497
    4.2211   -11.3363     3.7700
    1.1212    -8.2496     0.1635
   -4.6077    -6.5118    -4.1673
   -6.4914    -7.8442    -9.5724
   -8.4812    -2.2755    -7.7212
  -12.4116     2.5062    -8.7493
  -16.1225     5.1624   -12.7807
  -16.8893     4.7655   -16.8799
  -19.2606     7.6268   -21.0774
  -22.9767     9.1373   -22.1013
  -25.5332    14.4442   -23.6809
  -27.1414    14.8014   -26.4784
  -28.9316    18.0292   -27.2662
  -33.4244    20.9441   -34.0737
  -35.9761    23.2617   -36.8040
  -40.1643    27.0295   -39.0353
  -42.5323    32.1642   -41.0407
  -42.4301    34.6742   -45.4531
  -47.6966    35.8065   -44.9149
  -49.3817    35.7261   -47.1509
  -50.8562    39.4500   -52.1182
  -52.1696    46.8082   -55.0126
  -53.5661    46.8405   -57.8163
  -59.2105    46.1855   -60.5085
  -59.2502    51.6927   -62.3796
  -63.6034    49.2137   -61.8766
  -64.5350    53.5749   -61.4362
  -68.6906    57.3457   -65.2094
  -69.5713    60.2945   -70.0856
   59.3908   -70.2154    59.8670
   58.0608   -65.2949    57.5006
   53.9588   -62.4309    58.6677
   51.8700   -60.9178    53.6182
   50.3168   -56.4329    50.1369
   46.3115   -53.8998    45.4826
   43.0717   -49.9865    42.8083
   40.5179   -49.6074    42.7937
   37.1491   -44.7259    39.1308
   35.4921   -41.6125    38.9694
   33.0276   -41.2428    32.1985
   30.7706   -37.3514    29.7377
   26.3399   -36.0360    27.8814
   26.2652   -32.1625    22.5149
   24.0636   -29.6886    22.2898
   18.6935   -26.9376    15.7850
   16.6182   -24.9166    15.0003
   11.8470   -23.1423    12.0767
    9.4819   -22.0494     7.5049
    3.0639   -18.6706     7.4848
    4.4944   -13.6422     6.3315
    2.1681   -13.1780     1.4352
   -0.7895    -7.4395    -1.6245
   -6.4035    -7.5547    -6.5050
   -9.7108    -7.3838    -6.4658
   -9.4042    -6.4046    -9.6677
  -13.4845     0.2753   -14.7771
  -17.5542     1.9427   -15.9534
  -17.8675     4.9382   -19.6174
  -20.7642     6.1501   -23.7246
  -24.5386    10.7449   -23.1578
  -26.3004    13.3979   -23.9614
  -31.2552    14.8674   -26.1295
  -32.8910    18.7646   -31.2846
  -31.2949    20.0333   -34.6664
  -37.6295    23.5996   -36.4866
  -40.4907    28.4973   -39.6186
  -43.0468    30.1460   -41.4696
  -44.5849    34.2204   -44.0478
  -48.2544    37.4432   -45.9439
  -49.4179    37.2453   -49.5733
  -50.6249    40.4113   -54.7833
  -54.2865    44.1201   -55.0086
  -55.3715    47.3148   -58.3327
  -60.7616    45.6666   -60.9889
  -58.2110    50.4435   -63.6951
  -64.5332    51.8157   -62.4959
  -67.1332    54.0980   -60.5562
  -69.2141    57.4963   -66.1394
  -70.0551    59.7573   -70.1439
   59.8974   -69.6943    59.6284
   55.3106   -66.3364    57.1967
   52.7402   -62.7146    56.6556
   53.0983   -59.6040    53.1473
   46.9413   -55.9000    50.6387
   47.0540   -54.1253    48.7508
   43.0226   -51.3928    44.4291
   41.8569   -46.7119    43.9885
   37.0780   -47.5025    39.7609
   34.7965   -41.0859    36.4142
   30.9487   -39.6098    34.8457
   29.7114   -37.2308    30.2078
   27.4243   -33.6195    25.3784
   25.2241   -33.0673    23.1659
   24.0811   -30.0105    19.1440
   17.1763   -28.8277    19.4407
   14.5289   -26.8767    16.5189
   12.3070   -24.4836    12.7096
    6.3074   -23.2056    11.3465
    4.1860   -20.2008     7.9709
    6.5275   -16.8323     4.0617
    3.0749   -15.8942     3.0521
    0.2091   -11.1850    -1.9696
   -2.8658    -7.5085    -6.3095
   -8.2519    -7.0637    -7.4326
  -10.4919    -6.8416   -11.4659
  -12.1502    -0.1136   -11.0393
  -14.5014     2.3767   -15.9130
  -16.6672     4.5021   -16.5647
  -19.1062     7.3949   -22.4902
  -24.1818     8.7183   -23.2024
  -26.1181    10.9361   -26.5541
  -30.3742    15.1497   -27.7822
  -29.9463    17.8919   -28.5592
  -34.5977    22.2114   -32.6166
  -36.7480    23.3088   -37.5458
  -39.2965    25.8733   -39.3356
  -41.2216    28.8869   -39.1847
  -45.2150    32.3784   -43.2061
  -46.7518    37.2212   -45.6465
  -49.5540    39.1123   -48.1710
  -51.6190    38.1922   -55.6078
  -54.6161    42.9811   -56.1369
  -56.6705    49.5263   -56.1755
  -58.7377    51.1603   -61.1282
  -63.3649    48.5655   -62.5171
  -63.5259    53.1377   -63.0764
  -66.5259    55.8099   -63.3562
  -70.1714    58.8607   -64.6980
  -70.0123    59.8510   -69.3041
   59.5430   -69.8188    59.7032
   57.2860   -65.5852    57.7862
   52.2998   -61.7137    54.9588
   51.7535   -61.4266    52.0912
   49.3807   -56.8568    48.3841
   47.8669   -55.5156    48.3871
   44.9145   -53.2762    45.3665
   41.3632   -48.3524    42.4044
   37.0293   -44.2505    38.0367
   35.2420   -42.7489    36.1207
   36.0003   -41.1041    34.3240
   32.8467   -37.7339    30.4248
   29.3937   -35.6346    27.0578
   25.2237   -32.9584    22.0256
   21.2871   -30.7914    21.6361
   16.7361   -31.0037    18.6703
   15.8795   -27.2708    14.3624
